formula_discharge,framework,substitution,n_template_support
NaMnS2,Na1S2,Mn->slot1.0,6
NaFeS2,Na1S2,Fe->slot1.0,6
NaNiS2,Na1S2,Ni->slot1.0,6
NaCuS2,Na1S2,Cu->slot1.0,6
NaCoS2,Na1S2,Co->slot1.0,6
Na(CuO2)2,Na1O4,Cu->slot2.0,12
Na(CoO2)2,Na1O4,Co->slot2.0,12
NaMnFeO4,Na1O4,Fe/Mn mix slot2.0,12
NaFeNiO4,Na1O4,Fe/Ni mix slot2.0,12
NaMnNiO4,Na1O4,Mn/Ni mix slot2.0,12
NaCoNiO4,Na1O4,Ni/Co mix slot2.0,12
NaFeCoO4,Na1O4,Fe/Co mix slot2.0,12
Na2MnF5,F5Na2,Mn->slot1.0,1
Na2FeF5,F5Na2,Fe->slot1.0,1
Na2NiF5,F5Na2,Ni->slot1.0,1
Na2CrF5,F5Na2,Cr->slot1.0,1
Na2CuF5,F5Na2,Cu->slot1.0,1
Na2CoF5,F5Na2,Co->slot1.0,1
Na2TiF5,F5Na2,Ti->slot1.0,1
Na3Mn5O10,Na3O10,Mn->slot5.0,1
Na3(FeO2)5,Na3O10,Fe->slot5.0,1
Na3(NiO2)5,Na3O10,Ni->slot5.0,1
Na3Cr5O10,Na3O10,Cr->slot5.0,1
Na3(CuO2)5,Na3O10,Cu->slot5.0,1
Na3(CoO2)5,Na3O10,Co->slot5.0,1
Na3Ti5O10,Na3O10,Ti->slot5.0,1
Na3Mn(Fe2O5)2,Na3O10,Fe/Mn mix slot5.0,1
Na3Fe4NiO10,Na3O10,Fe/Ni mix slot5.0,1
Na3Mn4NiO10,Na3O10,Mn/Ni mix slot5.0,1
Na3Co(Ni2O5)2,Na3O10,Ni/Co mix slot5.0,1
Na3Fe4CoO10,Na3O10,Fe/Co mix slot5.0,1
NaMnF4,F4Na1,Mn->slot1.0,1
NaFeF4,F4Na1,Fe->slot1.0,1
NaNiF4,F4Na1,Ni->slot1.0,1
NaCrF4,F4Na1,Cr->slot1.0,1
NaCuF4,F4Na1,Cu->slot1.0,1
NaCoF4,F4Na1,Co->slot1.0,1
NaTiF4,F4Na1,Ti->slot1.0,1
NaMn6O11,Na1O11,Mn->slot6.0,1
