family,n_train,n_test,target,r2,mae,mae_over_sigma
Mn,225,56,average_voltage,0.4802,0.4261,0.5581
Mn,225,56,capacity_grav,0.7781,22.8084,0.3658
Mn,225,56,max_delta_volume,0.2671,0.0498,0.5396
V,232,49,average_voltage,0.2241,0.5632,0.72
V,232,49,capacity_grav,0.6816,24.1069,0.412
V,232,49,max_delta_volume,0.2742,0.0454,0.5506
Fe,240,41,average_voltage,0.231,0.6909,0.732
Fe,240,41,capacity_grav,0.6617,23.797,0.4111
Fe,240,41,max_delta_volume,0.539,0.0308,0.5611
Ni,249,32,average_voltage,0.5378,0.43,0.5526
Ni,249,32,capacity_grav,0.3395,32.6366,0.479
Ni,249,32,max_delta_volume,0.1085,0.0595,0.6328
Cr,253,28,average_voltage,-0.0023,0.9125,0.754
Cr,253,28,capacity_grav,0.4572,29.8028,0.4467
Cr,253,28,max_delta_volume,0.3571,0.038,0.536
Cu,255,26,average_voltage,0.738,0.4698,0.413
Cu,255,26,capacity_grav,0.2635,40.1059,0.7115
Cu,255,26,max_delta_volume,0.4238,0.0519,0.4938
Co,256,25,average_voltage,0.7316,0.3563,0.428
Co,256,25,capacity_grav,0.8032,22.5997,0.3841
Co,256,25,max_delta_volume,-0.4139,0.0414,0.8795
Ti,257,24,average_voltage,-1.4008,1.5374,1.3293
Ti,257,24,capacity_grav,0.2216,35.9503,0.5379
Ti,257,24,max_delta_volume,-0.6759,0.0579,1.0534
